Nro. Docto;Item;Desc Item;Un Medida;Família Material;Descrição;Família Comercial;Descrição;Estab;Dep;Loc;Quantidade;Lote/Serie;Validade do Lote;Data Ult. Transf.;Usuario;Item Controle Qualidade;Hora do Movimento
36922075;96051122;MICRO-ONDAS BMO34EB 127V;PC;50000;MICROONDAS;950184;BMO34EB;31;DAT;;9;;?;28/02/2024;isabela.heni;Não;21:39:46
55127;96051124;MICRO-ONDAS BME31 127V;PC;50000;MICROONDAS;950188;BME31;31;AT2;;5;;?;09/05/2022;evandro.soar;Não;10:39:38
234568;96051124;MICRO-ONDAS BME31 127V;PC;50000;MICROONDAS;950188;BME31;31;qld;;1;;?;07/11/2023;oliveira.sar;Não;13:23:34
INV 07/11/2023;96051125;MICRO-ONDAS BMO23BB 127V;PC;50000;MICROONDAS;950189;BMO23BB;31;QLD;;1;;?;08/11/2023;ester.ferrei;Não;14:52:39
Retrabalho;96051125;MICRO-ONDAS BMO23BB 127V;PC;50000;MICROONDAS;950189;BMO23BB;31;AMT;AMT-PHILCO II;1;;?;06/11/2023;vera.nilce;Não;10:22:01
36616642;96051128;MICRO-ONDAS PMO23IP 127V;PC;50000;MICROONDAS;950194;PMO23IP;31;DAT;;2;;?;26/02/2024;isabela.heni;Não;21:52:09
55127;96051134;MICRO-ONDAS PMB28EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950200;PMB28EB;31;AT2;;10;;?;09/05/2022;evandro.soar;Não;10:39:38
2250006;96051134;MICRO-ONDAS PMB28EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950200;PMB28EB;31;qld;;2;;?;17/08/2023;jayne.bezerr;Não;09:48:22
ESTORNADO;96051134;MICRO-ONDAS PMB28EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950200;PMB28EB;31;EX3;;209;;?;24/01/2024;renan.clarin;Não;05:45:48
621;96051134;MICRO-ONDAS PMB28EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950200;PMB28EB;31;ESF;;337;;?;01/03/2024;thiago.calde;Não;14:36:04
8789;96051135;MICRO-ONDAS PMB34EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950201;PMB34EB;31;EX2;;92;;?;19/02/2024;luciano.lope;Não;09:20:56
2313429;96051135;MICRO-ONDAS PMB34EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950201;PMB34EB;31;QL2;;2;;?;25/10/2023;daiane.luza;Não;09:07:15
2319330;96051135;MICRO-ONDAS PMB34EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950201;PMB34EB;31;QLD;;3;;?;31/10/2023;jayne.bezerr;Não;08:57:03
607;96051135;MICRO-ONDAS PMB34EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950201;PMB34EB;31;ESE;;983;;?;01/03/2024;thiago.calde;Não;14:12:59
esnxese;96051135;MICRO-ONDAS PMB34EB 127V;PC;50001;MICROONDAS DE EMBUTIR;950201;PMB34EB;31;esn;;5;;?;20/12/2023;andre.crosco;Não;11:26:32
RETRABALHO;96051140;MICRO-ONDAS PMO28BB 127V;PC;50000;MICROONDAS;950206;PMO28BB;31;AMT;AMT-PHILCO II;4;;?;29/12/2023;vera.nilce;Não;09:06:25
64405;96051140;MICRO-ONDAS PMO28BB 127V;PC;50000;MICROONDAS;950206;PMO28BB;31;DCT;;3;;?;19/02/2024;duarte.vanes;Não;14:39:44
2786980;96051140;MICRO-ONDAS PMO28BB 127V;PC;50000;MICROONDAS;950206;PMO28BB;31;DAT;;2;;?;22/02/2024;isabela.heni;Não;22:34:34
esexesn;96051140;MICRO-ONDAS PMO28BB 127V;PC;50000;MICROONDAS;950206;PMO28BB;31;esn;;2;;?;29/11/2023;andre.crosco;Não;16:29:20
22070757;96051141;MICRO-ONDAS PMO28EB 127V;PC;50000;MICROONDAS;950207;PMO28EB;31;DAT;;4;;?;19/02/2024;thayane.eric;Não;06:28:26
24575002;96051142;MICRO-ONDAS PMO28ES 127V;PC;50000;MICROONDAS;950208;PMO28ES;31;DAT;;36;;?;26/02/2024;isabela.heni;Não;21:34:01
247352;96051142;MICRO-ONDAS PMO28ES 127V;PC;50000;MICROONDAS;950208;PMO28ES;31;NC3;;1;;?;13/11/2023;daniel.atana;Não;11:12:45
ESExESN;96051142;MICRO-ONDAS PMO28ES 127V;PC;50000;MICROONDAS;950208;PMO28ES;31;ESE;;8;;?;01/03/2024;oriane.dias;Não;10:36:49
ESExESN;96051142;MICRO-ONDAS PMO28ES 127V;PC;50000;MICROONDAS;950208;PMO28ES;31;ESN;;3;;?;01/03/2024;oriane.dias;Não;10:36:49
Retrabalho;96051143;MICRO-ONDAS PMO28INOX 127V;PC;50000;MICROONDAS;950209;PMO28 INOX;31;AMT;AMT-PHILCO II;1;;?;06/11/2023;vera.nilce;Não;10:23:09
64568;96051144;MICRO-ONDAS PMR28V 127V;PC;50000;MICROONDAS;950210;PMR28V;31;AJT;;1;;?;29/02/2024;correa.ferna;Não;16:25:50
Retrabalho;96051144;MICRO-ONDAS PMR28V 127V;PC;50000;MICROONDAS;950210;PMR28V;31;AMT;AMT-PHILCO II;3;;?;06/11/2023;vera.nilce;Não;10:23:38
;96051144;MICRO-ONDAS PMR28V 127V;PC;50000;MICROONDAS;950210;PMR28V;31;AMT;AMT-0103B;1;;?;21/02/2024;everaldo.nun;Não;09:13:23
37052457;96051146;MICRO-ONDAS BMO28IEB 127V;PC;50000;MICROONDAS;75371;BMO28IEB;31;DAT;;4;;?;28/02/2024;isabela.heni;Não;21:43:48
cancelamento;96051146;MICRO-ONDAS BMO28IEB 127V;PC;50000;MICROONDAS;75371;BMO28IEB;31;nc2;;14;;?;22/12/2023;neiva.silva;Não;16:27:34
2550817;96051146;MICRO-ONDAS BMO28IEB 127V;PC;50000;MICROONDAS;75371;BMO28IEB;31;BEC;;1;;?;05/02/2024;isabela.heni;Não;16:50:15
;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;sem;PISO-PMS;1;;?;20/02/2024;micaele.spes;Não;02:32:34
64581;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;ACA;;6;;?;02/03/2024;farias.lucas;Não;08:58:26
64581;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;AJT;;282;;?;02/03/2024;farias.lucas;Não;08:58:26
244384;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;TR2;;1682;;?;29/02/2024;tarefa.auto;Não;13:34:37
2427917;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;EX2;;1;;?;27/02/2024;daiane.luza;Não;07:58:58
2425452;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;EX3;;1;;?;23/02/2024;daiane.quell;Não;16:07:54
755;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;EST;;233;;?;02/03/2024;farias.lucas;Não;08:59:37
621;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;ESF;;628;;?;29/02/2024;oriane.dias;Não;10:49:19
LIN-001/24#4395;96051148;MICRO-ONDAS PMO34BB 127V;PC;50000;MICROONDAS;950214;PMO34BB;31;ESN;;1;;?;28/02/2024;gabriela.ros;Não;15:19:36
244381;96051149;MICRO-ONDAS PMO34EB;PC;50000;MICROONDAS;950215;PMO34EB;31;TR2;;3669;;?;29/02/2024;tarefa.auto;Não;13:34:25
621;96051149;MICRO-ONDAS PMO34EB;PC;50000;MICROONDAS;950215;PMO34EB;31;ESF;;58;;?;29/02/2024;oriane.dias;Não;10:49:20
TESTE BRN;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;ACA;;1;;?;01/03/2024;everton.anjo;Não;01:02:52
64578;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;AJT;;210;;?;01/03/2024;farias.lucas;Não;14:51:36
9674463;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;DAT;;1;;?;19/02/2024;thayane.eric;Não;13:43:21
2411025;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;QLD;;8;;?;13/02/2024;ana.amaral;Não;08:08:38
1061;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;NC2;;1;;?;09/07/2023;kalarrany.ba;Não;09:29:16
747;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;EST;;1501;;?;01/03/2024;farias.lucas;Não;07:09:39
LIN-001/24#4395;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;ESN;;8;;?;28/02/2024;gabriela.ros;Não;15:19:36
TESTE VIDA;96051150;MICRO-ONDAS PMO34ES 127V;PC;50000;MICROONDAS;950216;PMO34ES;31;BRN;BRN-FMO;4;;?;29/02/2024;marcos.castr;Não;20:56:45
64568;96051151;MICRO-ONDAS PMO34IP 127V;PC;50000;MICROONDAS;950217;PMO34IP;31;AJT;;3;;?;29/02/2024;correa.ferna;Não;16:25:51
2405136;96051151;MICRO-ONDAS PMO34IP 127V;PC;50000;MICROONDAS;950217;PMO34IP;31;EX2;;2;;?;07/02/2024;natafni.silv;Não;23:28:24
2434329;96051151;MICRO-ONDAS PMO34IP 127V;PC;50000;MICROONDAS;950217;PMO34IP;31;ql2;;1;;?;02/03/2024;ana.amaral;Não;08:18:27
